famRank,family,famFreq,word,PoS,freq,ratio,categ,domain
1,study,137208,study,n,137208,2.52,y,
1,study,137208,study,v,18872,1.37,x,
1,study,137208,studied,j,215,1.21,x,
1,study,137208,studiously,r,58,0.77,x,
1,study,137208,studious,j,41,0.59,x,
1,study,137208,studying,n,20,0.99,r,Edu
2,develop,128974,development,n,63509,2.23,y,
2,develop,128974,develop,v,52543,2.02,y,
2,develop,128974,developing,j,9039,2.20,y,
2,develop,128974,developmental,j,5716,2.91,r,Edu
2,develop,128974,developed,j,3513,2.19,y,
2,develop,128974,developer,n,2526,0.96,x,
2,develop,128974,developmentally,r,573,2.30,r,Edu
2,develop,128974,underdeveloped,j,370,2.11,y,
2,develop,128974,undeveloped,j,283,1.25,x,
2,develop,128974,underdevelopment,n,214,2.93,r,His
2,develop,128974,redevelopment,n,144,0.47,x,
2,develop,128974,redevelop,v,48,0.57,x,
2,develop,128974,developing,n,18,1.58,r,Law
3,group,125012,group,n,122011,1.72,y,
3,group,125012,grouping,n,1744,2.43,r,Edu
3,group,125012,subgroup,n,1603,3.05,y,
3,group,125012,group,v,1398,2.18,y,
3,group,125012,intergroup,j,559,3.16,r,Soc
3,group,125012,regroup,v,172,0.73,r,His
3,group,125012,grouped,j,34,3.31,r,Edu
3,group,125012,regrouping,n,20,2.33,r,Edu
4,system,116141,system,n,110176,1.79,y,
4,system,116141,systematic,j,4090,2.75,y,
4,system,116141,systematically,r,1815,2.32,y,
4,system,116141,subsystem,n,796,3.23,r,Sci
4,system,116141,unsystematic,j,60,2.76,y,
5,relate,114267,relationship,n,50744,1.93,y,
5,relate,114267,relate,v,28592,2.35,y,
5,relate,114267,relation,n,23867,2.13,y,
5,relate,114267,related,j,6945,2.44,y,
5,relate,114267,relational,j,1498,3.33,y,
5,relate,114267,unrelated,j,1388,1.86,y,
5,relate,114267,interrelated,j,731,2.94,y,
5,relate,114267,interrelationship,n,502,3.07,y,
5,relate,114267,relatedness,n,434,3.30,x,
5,relate,114267,interrelation,n,191,3.22,r,Hum
6,research,112649,research,n,83325,2.30,y,
6,research,112649,researcher,n,25445,2.34,y,
6,research,112649,research,v,3879,1.61,y,
7,social,103635,social,j,99744,2.39,y,
7,social,103635,socially,r,3891,2.17,y,
7,social,103635,antisocial,j,1080,2.55,r,Med
8,result,96016,result,n,72083,2.05,y,
8,result,96016,result,v,20138,2.21,y,
8,result,96016,resulting,j,3063,2.23,y,
8,result,96016,resultant,j,732,2.84,y,
9,use,93271,use,v,184698,1.42,x,
9,use,93271,use,n,64527,2.15,y,
9,use,93271,user,n,14141,2.16,y,
9,use,93271,useful,j,11584,2.07,y,
9,use,93271,used,j,6037,1.02,x,
9,use,93271,usefulness,n,1229,2.50,y,
9,use,93271,useless,j,1002,0.81,x,
9,use,93271,usable,j,737,1.94,y,
9,use,93271,misuse,n,626,1.80,y,
